id,timestamp,balance,equity,margin,free_margin,margin_level,total_profit,symbol_pnl,chat_id
43518,2026-01-22 09:59:53.652144,355.19,350.11,36.76,313.35,952.4211099020675,-5.08,-4.2,
43517,2026-01-22 09:59:53.652144,355.19,350.11,36.76,313.35,952.4211099020675,-5.08,-4.2,
43516,2026-01-22 09:59:50.648921,355.19,350.12,36.76,313.36,952.4483133841132,-5.07,0.0,
43515,2026-01-22 09:59:50.648921,355.19,350.12,36.76,313.36,952.4483133841132,-5.07,0.0,
43514,2026-01-22 09:59:43.552525,355.19,350.09,36.76,313.33,952.366702937976,-5.1,-4.2,
43513,2026-01-22 09:59:43.552525,355.19,350.09,36.76,313.33,952.366702937976,-5.1,-4.2,
43512,2026-01-22 09:59:40.614086,355.19,350.45,36.76,313.69,953.3460282916213,-4.74,0.0,
43511,2026-01-22 09:59:40.614086,355.19,350.45,36.76,313.69,953.3460282916213,-4.74,0.0,
43510,2026-01-22 09:59:33.458817,355.19,350.45,36.76,313.69,953.3460282916213,-4.74,-3.84,
43509,2026-01-22 09:59:33.458817,355.19,350.45,36.76,313.69,953.3460282916213,-4.74,-3.84,
43508,2026-01-22 09:59:30.571048,355.19,350.33,36.76,313.57,953.0195865070729,-4.86,0.0,
43507,2026-01-22 09:59:30.571048,355.19,350.33,36.76,313.57,953.0195865070729,-4.86,0.0,
43506,2026-01-22 09:59:23.367060,355.19,349.63,36.76,312.87,951.1153427638739,-5.5600000000000005,-4.68,
43505,2026-01-22 09:59:23.367060,355.19,349.63,36.76,312.87,951.1153427638739,-5.5600000000000005,-4.68,
43504,2026-01-22 09:59:20.531326,355.19,349.88,36.76,313.12,951.7954298150164,-5.31,0.0,
43503,2026-01-22 09:59:20.531326,355.19,349.88,36.76,313.12,951.7954298150164,-5.31,0.0,
43502,2026-01-22 09:59:13.258719,355.19,349.87,36.76,313.11,951.7682263329707,-5.32,-4.44,
43501,2026-01-22 09:59:13.258719,355.19,349.87,36.76,313.11,951.7682263329707,-5.32,-4.44,
43500,2026-01-22 09:59:10.488967,355.19,349.88,36.76,313.12,951.7954298150164,-5.31,0.0,
43499,2026-01-22 09:59:10.488967,355.19,349.88,36.76,313.12,951.7954298150164,-5.31,0.0,
43498,2026-01-22 09:59:03.164033,355.19,349.49,36.76,312.73,950.734494015234,-5.7,-4.8,
43497,2026-01-22 09:59:03.164033,355.19,349.49,36.76,312.73,950.734494015234,-5.7,-4.8,
43496,2026-01-22 09:59:00.450649,355.19,349.95,36.76,313.19,951.9858541893364,-5.24,0.0,
43495,2026-01-22 09:59:00.450649,355.19,349.95,36.76,313.19,951.9858541893364,-5.24,0.0,
43494,2026-01-22 09:58:53.077547,355.19,349.66,36.76,312.9,951.1969532100111,-5.53,-4.5600000000000005,
43493,2026-01-22 09:58:53.077547,355.19,349.66,36.76,312.9,951.1969532100111,-5.53,-4.5600000000000005,
43492,2026-01-22 09:58:50.407407,355.19,349.68,36.76,312.92,951.2513601741024,-5.51,0.0,
43491,2026-01-22 09:58:50.407407,355.19,349.68,36.76,312.92,951.2513601741024,-5.51,0.0,
43490,2026-01-22 09:58:42.982861,355.19,349.72,36.76,312.96,951.3601741022851,-5.47,-4.5600000000000005,
43489,2026-01-22 09:58:42.982861,355.19,349.72,36.76,312.96,951.3601741022851,-5.47,-4.5600000000000005,
43488,2026-01-22 09:58:40.369796,355.19,349.72,36.76,312.96,951.3601741022851,-5.47,0.0,
43487,2026-01-22 09:58:40.369796,355.19,349.72,36.76,312.96,951.3601741022851,-5.47,0.0,
43486,2026-01-22 09:58:32.876380,355.19,349.87,36.76,313.11,951.7682263329707,-5.32,-4.44,
43485,2026-01-22 09:58:32.876380,355.19,349.87,36.76,313.11,951.7682263329707,-5.32,-4.44,
43484,2026-01-22 09:58:30.332357,355.19,349.86,36.76,313.1,951.7410228509251,-5.33,0.0,
43483,2026-01-22 09:58:30.332357,355.19,349.86,36.76,313.1,951.7410228509251,-5.33,0.0,
43482,2026-01-22 09:58:22.784769,355.19,349.75,36.76,312.99,951.4417845484223,-5.44,-4.5600000000000005,
43481,2026-01-22 09:58:22.784769,355.19,349.75,36.76,312.99,951.4417845484223,-5.44,-4.5600000000000005,
43480,2026-01-22 09:58:20.292628,355.19,349.72,36.76,312.96,951.3601741022851,-5.47,0.0,
43479,2026-01-22 09:58:20.292628,355.19,349.72,36.76,312.96,951.3601741022851,-5.47,0.0,
43478,2026-01-22 09:58:12.687915,355.19,349.97,36.76,313.21,952.0402611534278,-5.22,-4.32,
43477,2026-01-22 09:58:12.687915,355.19,349.97,36.76,313.21,952.0402611534278,-5.22,-4.32,
43476,2026-01-22 09:58:10.245003,355.19,349.91,36.76,313.15,951.8770402611535,-5.28,0.0,
43475,2026-01-22 09:58:10.245003,355.19,349.91,36.76,313.15,951.8770402611535,-5.28,0.0,
43474,2026-01-22 09:58:02.578651,355.19,349.87,36.76,313.11,951.7682263329707,-5.32,-4.44,
43473,2026-01-22 09:58:02.578651,355.19,349.87,36.76,313.11,951.7682263329707,-5.32,-4.44,
43472,2026-01-22 09:58:00.208654,355.19,349.84,36.76,313.08,951.6866158868336,-5.35,0.0,
43471,2026-01-22 09:58:00.208654,355.19,349.84,36.76,313.08,951.6866158868336,-5.35,0.0,
43470,2026-01-22 09:57:52.478085,355.19,349.69,36.76,312.93,951.278563656148,-5.5,-4.5600000000000005,
43469,2026-01-22 09:57:52.478085,355.19,349.69,36.76,312.93,951.278563656148,-5.5,-4.5600000000000005,
43468,2026-01-22 09:57:50.168347,355.19,349.97,36.76,313.21,952.0402611534278,-5.22,0.0,
43467,2026-01-22 09:57:50.168347,355.19,349.97,36.76,313.21,952.0402611534278,-5.22,0.0,
43466,2026-01-22 09:57:42.383604,355.19,350.72,36.76,313.96,954.0805223068554,-4.47,-3.7199999999999998,
43465,2026-01-22 09:57:42.383604,355.19,350.72,36.76,313.96,954.0805223068554,-4.47,-3.7199999999999998,
43464,2026-01-22 09:57:40.127376,355.19,350.76,36.76,314.0,954.1893362350381,-4.43,0.0,
43463,2026-01-22 09:57:40.127376,355.19,350.76,36.76,314.0,954.1893362350381,-4.43,0.0,
43462,2026-01-22 09:57:30.089063,355.19,351.1,36.76,314.34,955.114254624592,-4.09,0.0,
43461,2026-01-22 09:57:30.089063,355.19,351.1,36.76,314.34,955.114254624592,-4.09,0.0,
43460,2026-01-22 09:57:20.041423,355.19,350.98,36.76,314.22,954.7878128400436,-4.21,0.0,
43459,2026-01-22 09:57:20.041423,355.19,350.98,36.76,314.22,954.7878128400436,-4.21,0.0,
43458,2026-01-22 09:57:09.991562,355.19,350.86,36.76,314.1,954.4613710554952,-4.33,0.0,
43457,2026-01-22 09:57:09.991562,355.19,350.86,36.76,314.1,954.4613710554952,-4.33,0.0,
43456,2026-01-22 09:56:59.946856,355.19,350.62,36.76,313.86,953.8084874863983,-4.57,0.0,
43455,2026-01-22 09:56:59.946856,355.19,350.62,36.76,313.86,953.8084874863983,-4.57,0.0,
43454,2026-01-22 09:56:49.907639,355.19,350.65,36.76,313.89,953.8900979325354,-4.54,0.0,
43453,2026-01-22 09:56:49.907639,355.19,350.65,36.76,313.89,953.8900979325354,-4.54,0.0,
43452,2026-01-22 09:56:39.867419,355.19,350.66,36.76,313.9,953.9173014145812,-4.53,0.0,
43451,2026-01-22 09:56:39.867419,355.19,350.66,36.76,313.9,953.9173014145812,-4.53,0.0,
43450,2026-01-22 09:56:29.825808,355.19,350.4,36.76,313.64,953.2100108813928,-4.79,0.0,
43449,2026-01-22 09:56:29.825808,355.19,350.4,36.76,313.64,953.2100108813928,-4.79,0.0,
43448,2026-01-22 09:54:59.695867,355.19,351.3,36.76,314.54,955.658324265506,-3.89,0.0,
43447,2026-01-22 09:54:59.695867,355.19,351.3,36.76,314.54,955.658324265506,-3.89,0.0,
43446,2026-01-22 09:54:54.906585,355.19,350.7,36.76,313.94,954.026115342764,-4.49,-3.84,
43445,2026-01-22 09:54:54.906585,355.19,350.7,36.76,313.94,954.026115342764,-4.49,-3.84,
43444,2026-01-22 09:54:49.653784,355.19,351.28,36.76,314.52,955.6039173014145,-3.91,0.0,
43443,2026-01-22 09:54:49.653784,355.19,351.28,36.76,314.52,955.6039173014145,-3.91,0.0,
43442,2026-01-22 09:54:44.799996,355.19,351.29,36.76,314.53,955.6311207834603,-3.9,-3.24,
43441,2026-01-22 09:54:44.799996,355.19,351.29,36.76,314.53,955.6311207834603,-3.9,-3.24,
43440,2026-01-22 09:54:39.611246,355.19,351.28,36.76,314.52,955.6039173014145,-3.91,0.0,
43439,2026-01-22 09:54:39.611246,355.19,351.28,36.76,314.52,955.6039173014145,-3.91,0.0,
43438,2026-01-22 09:54:34.694726,355.19,351.44,36.76,314.68,956.039173014146,-3.75,-3.12,
43437,2026-01-22 09:54:34.694726,355.19,351.44,36.76,314.68,956.039173014146,-3.75,-3.12,
43436,2026-01-22 09:54:29.570351,355.19,351.31,36.76,314.55,955.6855277475516,-3.88,0.0,
43435,2026-01-22 09:54:29.570351,355.19,351.31,36.76,314.55,955.6855277475516,-3.88,0.0,
43434,2026-01-22 09:54:24.607459,355.19,351.44,36.76,314.68,956.039173014146,-3.75,-3.12,
43433,2026-01-22 09:54:24.607459,355.19,351.44,36.76,314.68,956.039173014146,-3.75,-3.12,
43432,2026-01-22 09:54:19.532116,355.19,351.46,36.76,314.7,956.0935799782372,-3.73,0.0,
43431,2026-01-22 09:54:19.532116,355.19,351.46,36.76,314.7,956.0935799782372,-3.73,0.0,
43430,2026-01-22 09:54:14.515985,355.19,351.38,36.76,314.62,955.8759521218716,-3.81,-3.24,
43429,2026-01-22 09:54:14.515985,355.19,351.38,36.76,314.62,955.8759521218716,-3.81,-3.24,
43428,2026-01-22 09:54:09.489329,355.19,351.68,36.76,314.92,956.6920565832428,-3.51,0.0,
43427,2026-01-22 09:54:09.489329,355.19,351.68,36.76,314.92,956.6920565832428,-3.51,0.0,
43426,2026-01-22 09:54:04.418350,355.19,351.55,36.76,314.79,956.3384113166487,-3.64,-3.0,
43425,2026-01-22 09:54:04.418350,355.19,351.55,36.76,314.79,956.3384113166487,-3.64,-3.0,
43424,2026-01-22 09:53:59.451663,355.19,351.56,36.76,314.8,956.3656147986943,-3.63,0.0,
43423,2026-01-22 09:53:59.451663,355.19,351.56,36.76,314.8,956.3656147986943,-3.63,0.0,
43422,2026-01-22 09:53:54.325158,355.19,351.2,36.76,314.44,955.386289445049,-3.99,-3.36,
43421,2026-01-22 09:53:54.325158,355.19,351.2,36.76,314.44,955.386289445049,-3.99,-3.36,
43420,2026-01-22 09:53:49.413525,355.19,351.06,36.76,314.3,955.0054406964092,-4.13,0.0,
43419,2026-01-22 09:53:49.413525,355.19,351.06,36.76,314.3,955.0054406964092,-4.13,0.0,
43418,2026-01-22 09:53:44.230742,355.19,351.3,36.76,314.54,955.658324265506,-3.89,-3.24,
43417,2026-01-22 09:53:44.230742,355.19,351.3,36.76,314.54,955.658324265506,-3.89,-3.24,
43416,2026-01-22 09:53:39.372815,355.19,351.15,36.76,314.39,955.2502720348205,-4.04,0.0,
43415,2026-01-22 09:53:39.372815,355.19,351.15,36.76,314.39,955.2502720348205,-4.04,0.0,
43414,2026-01-22 09:53:34.128539,355.19,351.67,36.76,314.91,956.6648531011971,-3.52,-2.88,
43413,2026-01-22 09:53:34.128539,355.19,351.67,36.76,314.91,956.6648531011971,-3.52,-2.88,
43412,2026-01-22 09:53:29.316952,355.19,351.83,36.76,315.07,957.1001088139282,-3.36,0.0,
43411,2026-01-22 09:53:29.316952,355.19,351.83,36.76,315.07,957.1001088139282,-3.36,0.0,
43410,2026-01-22 09:53:24.017630,355.19,352.78,36.76,316.02,959.6844396082698,-2.41,-1.8,
43409,2026-01-22 09:53:24.017630,355.19,352.78,36.76,316.02,959.6844396082698,-2.41,-1.8,
43408,2026-01-22 09:53:19.232683,355.19,352.78,36.76,316.02,959.6844396082698,-2.41,0.0,
43407,2026-01-22 09:53:19.232683,355.19,352.78,36.76,316.02,959.6844396082698,-2.41,0.0,
43406,2026-01-22 09:53:13.899253,355.19,352.42,36.76,315.66,958.7051142546247,-2.77,-2.16,
43405,2026-01-22 09:53:13.899253,355.19,352.42,36.76,315.66,958.7051142546247,-2.77,-2.16,
43404,2026-01-22 09:53:03.804989,355.19,352.99,36.76,316.23,960.2557127312297,-2.2,-1.56,
43403,2026-01-22 09:53:03.804989,355.19,352.99,36.76,316.23,960.2557127312297,-2.2,-1.56,
43402,2026-01-22 09:52:53.691184,355.19,352.87,36.76,316.11,959.9292709466813,-2.32,-1.6800000000000002,
43401,2026-01-22 09:52:53.691184,355.19,352.87,36.76,316.11,959.9292709466813,-2.32,-1.6800000000000002,
43400,2026-01-22 09:52:43.574305,355.19,353.18,36.76,316.42,960.7725788900981,-2.01,-1.44,
43399,2026-01-22 09:52:43.574305,355.19,353.18,36.76,316.42,960.7725788900981,-2.01,-1.44,
43398,2026-01-22 09:52:33.469093,355.19,353.63,36.76,316.87,961.9967355821545,-1.56,-0.96,
43397,2026-01-22 09:52:33.469093,355.19,353.63,36.76,316.87,961.9967355821545,-1.56,-0.96,
43396,2026-01-22 09:52:23.336822,355.19,352.42,36.76,315.66,958.7051142546247,-2.77,-2.16,
43395,2026-01-22 09:52:23.336822,355.19,352.42,36.76,315.66,958.7051142546247,-2.77,-2.16,
43394,2026-01-22 09:52:13.245005,355.19,352.28,36.76,315.52,958.3242655059846,-2.91,-2.2800000000000002,
43393,2026-01-22 09:52:13.245005,355.19,352.28,36.76,315.52,958.3242655059846,-2.91,-2.2800000000000002,
43392,2026-01-22 09:51:41.979378,355.19,351.8,36.76,315.04,957.0184983677912,-3.39,0.0,
43391,2026-01-22 09:51:41.979378,355.19,351.8,36.76,315.04,957.0184983677912,-3.39,0.0,
43390,2026-01-22 09:49:59.901180,355.19,351.61,36.76,314.85,956.5016322089228,-3.58,-2.88,
43389,2026-01-22 09:49:59.901180,355.19,351.61,36.76,314.85,956.5016322089228,-3.58,-2.88,
43388,2026-01-22 09:49:49.808961,355.19,351.72,36.76,314.96,956.8008705114256,-3.4699999999999998,-2.76,
43387,2026-01-22 09:49:49.808961,355.19,351.72,36.76,314.96,956.8008705114256,-3.4699999999999998,-2.76,
43386,2026-01-22 09:49:39.718272,355.19,351.23,36.76,314.47,955.4678998911862,-3.96,-3.24,
43385,2026-01-22 09:49:39.718272,355.19,351.23,36.76,314.47,955.4678998911862,-3.96,-3.24,
