ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
1158853588,XAUUSDm,SELL,0.01,0.0,2026-01-21 11:06:28,CLOSED,4843.4,2026-01-21 11:06:28,-3.75,0.0,0.0,
1158800024,XAUUSDm,SELL,0.15,0.0,2026-01-21 11:06:19,CLOSED,4843.922,2026-01-21 11:06:19,-110.26,0.0,0.0,
1157835248,XAUUSDm,SELL,0.12,0.0,2026-01-21 00:24:00,CLOSED,4739.908,2026-01-21 00:24:00,-16.9,0.0,0.0,
1157000829,XAUUSDm,BUY,0.16,0.0,2026-01-20 21:19:45,CLOSED,4724.987,2026-01-20 21:19:45,49.39,0.0,0.0,
1156937406,EURUSDm,SELL,0.15,0.0,2026-01-20 21:06:22,CLOSED,1.1725600000000003,2026-01-20 21:06:22,14.85,0.0,0.0,
1156912264,XAUUSDm,BUY,0.18,0.0,2026-01-20 21:19:45,CLOSED,4724.987,2026-01-20 21:19:45,48.37,0.0,0.0,
1156882810,XAUUSDm,BUY,0.15,0.0,2026-01-20 21:34:54,CLOSED,4725.098,2026-01-20 21:34:54,68.97,0.0,0.0,
1156814397,EURUSDm,SELL,0.15,0.0,2026-01-20 20:06:31,CLOSED,1.1731800000000001,2026-01-20 20:06:31,6.0,0.0,0.0,
1156776889,EURUSDm,SELL,0.01,0.0,2026-01-20 19:39:42,CLOSED,1.1731900000000002,2026-01-20 19:39:42,-0.3,0.0,0.0,
1156760336,EURUSDm,SELL,0.12,0.0,2026-01-20 19:39:42,CLOSED,1.1731900000000002,2026-01-20 19:39:42,-9.36,0.0,0.0,
1156748994,EURUSDm,BUY,0.15,0.0,2026-01-20 19:17:29,CLOSED,1.1723700000000001,2026-01-20 19:17:29,-7.35,0.0,0.0,
1156736554,EURUSDm,SELL,0.01,0.0,2026-01-20 19:10:52,CLOSED,1.1728500000000002,2026-01-20 19:10:52,0.2,0.0,0.0,
1156726502,EURUSDm,SELL,0.12,0.0,2026-01-20 19:10:40,CLOSED,1.1728900000000002,2026-01-20 19:10:40,-0.36,0.0,0.0,
1156686202,EURUSDm,BUY,0.08,0.0,2026-01-20 19:02:10,CLOSED,1.17287,2026-01-20 19:02:10,2.8,0.0,0.0,
1156665387,EURUSDm,SELL,0.02,0.0,2026-01-20 18:40:52,CLOSED,1.17243,2026-01-20 18:40:52,-0.74,0.0,0.0,
1156633334,EURUSDm,SELL,0.01,0.0,2026-01-20 18:40:42,CLOSED,1.1724,2026-01-20 18:40:42,-0.82,0.0,0.0,
1156621548,EURUSDm,BUY,0.15,0.0,2026-01-20 18:17:16,CLOSED,1.17165,2026-01-20 18:17:16,-14.7,0.0,0.0,
1156613609,EURUSDm,SELL,0.04,0.0,2026-01-20 18:11:05,CLOSED,1.1725900000000002,2026-01-20 18:11:05,0.16,0.0,0.0,
1156598565,EURUSDm,SELL,0.03,0.0,2026-01-20 18:10:56,CLOSED,1.1725400000000001,2026-01-20 18:10:56,0.12,0.0,0.0,
1156563977,EURUSDm,BUY,0.15,0.0,2026-01-20 17:59:34,CLOSED,1.1725400000000001,2026-01-20 17:59:34,-8.1,0.0,0.0,
1156488287,EURUSDm,SELL,0.12,0.0,2026-01-20 17:42:22,CLOSED,1.1731200000000002,2026-01-20 17:42:22,-11.04,0.0,0.0,
1156349122,XAUUSDm,BUY,0.15,0.0,2026-01-20 16:50:43,CLOSED,4726.034,2026-01-20 16:50:43,83.88,0.0,0.0,
1156346739,XAUUSDm,BUY,0.15,0.0,2026-01-20 16:50:38,CLOSED,4725.629,2026-01-20 16:50:38,32.66,0.0,0.0,
1156300183,EURUSDm,SELL,0.01,0.0,2026-01-20 16:18:43,CLOSED,1.1700800000000002,2026-01-20 16:18:43,0.03,0.0,0.0,
