ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
49273262,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,22.2,0.0,0.0,
49273263,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,22.35,0.0,0.0,
49273264,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,22.2,0.0,0.0,
49273265,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,12.3,0.0,0.0,
49273266,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,8.4,0.0,0.0,
49273267,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,8.25,0.0,0.0,
49273268,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,6.75,0.0,0.0,
49273269,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,2.55,0.0,0.0,
49273270,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.87,2026-01-22 23:29:41,2.4,0.0,0.0,
49273271,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,2.55,0.0,0.0,
49273272,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,3.0,0.0,0.0,
49273273,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,3.15,0.0,0.0,
49273275,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,3.15,0.0,0.0,
49273276,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,2.7,0.0,0.0,
49273278,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,2.7,0.0,0.0,
49273279,GOLD,BUY,0.15,0.0,2026-01-22 23:29:41,CLOSED,4853.88,2026-01-22 23:29:41,2.7,0.0,0.0,
49273666,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-176.25,0.0,0.0,
49273668,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-180.6,0.0,0.0,
49273669,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-178.2,0.0,0.0,
49273670,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-178.35,0.0,0.0,
49273671,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-181.35,0.0,0.0,
49273672,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-181.2,0.0,0.0,
49273673,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-180.0,0.0,0.0,
49273674,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-176.85,0.0,0.0,
49273675,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-175.5,0.0,0.0,
49273677,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-176.7,0.0,0.0,
49273678,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-177.6,0.0,0.0,
49273679,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-175.35,0.0,0.0,
49273680,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-175.35,0.0,0.0,
49273681,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-174.9,0.0,0.0,
49273682,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-172.05,0.0,0.0,
49273683,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-176.1,0.0,0.0,
49273684,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-175.65,0.0,0.0,
49273685,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-174.9,0.0,0.0,
49273686,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-176.55,0.0,0.0,
49273687,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.3,2026-01-22 23:46:58,-175.35,0.0,0.0,
49273688,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4866.02,2026-01-22 23:46:58,-198.75,0.0,0.0,
49273689,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4865.9,2026-01-22 23:46:58,-196.2,0.0,0.0,
49273690,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4865.9,2026-01-22 23:46:58,-193.5,0.0,0.0,
49273691,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4865.9,2026-01-22 23:46:58,-192.6,0.0,0.0,
49274125,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4865.9,2026-01-22 23:46:58,-106.95,0.0,0.0,
49274126,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4865.9,2026-01-22 23:46:58,-113.25,0.0,0.0,
49274130,GOLD,SELL,0.15,0.0,2026-01-22 23:46:58,CLOSED,4865.9,2026-01-22 23:46:58,-118.5,0.0,0.0,
49308655,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,28.65,0.0,0.0,
49308656,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,28.2,0.0,0.0,
49308657,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,28.5,0.0,0.0,
49308658,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,29.25,0.0,0.0,
49308659,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,30.0,0.0,0.0,
49308660,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,30.0,0.0,0.0,
49308661,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,29.4,0.0,0.0,
49308662,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,29.7,0.0,0.0,
49308663,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,29.7,0.0,0.0,
49308664,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,29.7,0.0,0.0,
49308665,GOLD,BUY,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.1,2026-01-23 08:45:21,29.7,0.0,0.0,
49308678,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-44.1,0.0,0.0,
49308680,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-44.1,0.0,0.0,
49308682,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-44.1,0.0,0.0,
49308683,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-43.95,0.0,0.0,
49308684,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-43.95,0.0,0.0,
49308685,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-43.95,0.0,0.0,
49308686,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.73,2026-01-23 08:45:21,-43.95,0.0,0.0,
49308687,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.72,2026-01-23 08:45:21,-40.5,0.0,0.0,
49308688,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.72,2026-01-23 08:45:21,-41.55,0.0,0.0,
49308689,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-41.7,0.0,0.0,
49308690,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-39.6,0.0,0.0,
49308691,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-40.35,0.0,0.0,
49308692,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-39.3,0.0,0.0,
49308693,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-38.4,0.0,0.0,
49308694,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-42.6,0.0,0.0,
49308695,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-42.9,0.0,0.0,
49308696,GOLD,SELL,0.15,0.0,2026-01-23 08:45:21,CLOSED,4951.74,2026-01-23 08:45:21,-42.6,0.0,0.0,
49308744,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.45,0.0,0.0,
49308745,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.45,0.0,0.0,
49308746,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-5.55,0.0,0.0,
49308747,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.15,0.0,0.0,
49308748,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.45,0.0,0.0,
49308749,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.75,0.0,0.0,
49308750,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.9,0.0,0.0,
49308751,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-6.75,0.0,0.0,
49308752,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-7.95,0.0,0.0,
49308753,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-7.95,0.0,0.0,
49308754,GOLD,SELL,0.15,0.0,2026-01-23 08:46:19,CLOSED,4951.22,2026-01-23 08:46:19,-7.95,0.0,0.0,
